"Chemical","Endpoints","Lower","Median","Upper","Range","DRG..Dose.Responsive.Genes.","Top_Dose","Low_Dose"
"24BPF","LCRD",0.0490283,0.0503847848069236,0.246945,0.1979167,"5077","100","0.1"
"","First mode",8.7154478961802,9.36099630439894,33.9096198971482,25.194172000968,"","",""
"","Category (complement receptor mediated signaling pathway)",0.0389352,0.0402498,7.53259,7.4936548,"","",""
"","20th gene",0.10017,0.105864,0.293311,0.193141,"","",""
"","10th percentile",8.1967248,8.86907,9.367956,1.1712312,"","",""
"","LC50",0,122,0,0,"","",""
NA,NA,NA,NA,NA,NA,NA,NA,NA
"24BPF_TDR","LCRD",0.00614971,0.00614971,0.010506,0.00435629,"4173","30","0.1"
"","First mode",0.0774294525802317,0.079459007051311,0.0812655531336074,0.0038361005533757,"","",""
"","Category (phosphatidylcholine binding)",0.0169554,0.0171715,0.0383612,0.0214058,"","",""
"","20th gene",0.0131677,0.0139929,0.0157701,0.0026024,"","",""
"","10th percentile",0.0650626145,0.0682074,0.07015886,0.0050962455,"","",""
"","LC50",0,122,0,0,"","",""
