Probe.ID	Gene.ID	Gene.Symbol	Unadjusted.P.Value	Adjusted.P.Value	Max.Fold.Change	Max.Fold.Change.Unsigned	FC.Dose.Level.1	FC.Dose.Level.2	FC.Dose.Level.3	FC.Dose.Level.4	FC.Dose.Level.5	NOTEL.LOTEL.T.Test.p.Value.Level.1	NOTEL.LOTEL.T.Test.p.Value.Level.2	NOTEL.LOTEL.T.Test.p.Value.Level.3	NOTEL.LOTEL.T.Test.p.Value.Level.4	NOTEL.LOTEL.T.Test.p.Value.Level.5	NOTEL	LOTEL	SYMBOL	ENTREZID
ENSGALG00010000002	NA	NA	0.016326531	0.038377897	2.8731382	2.8731382	1.1087139	1.969224	1.51737	1.9902966	2.8731382	0.7987173	0.03526621	0.00138488	0.04669723	0.24802378	NA	NA	NA	NA
ENSGALG00010000003	NA	NA	0.003663004	0.013045573	2.7939394	2.7939394	2.3170402	1.9839854	1.7359482	1.8196846	2.7939394	0.009536309	3.62e-08	5.64e-06	4.18e-07	5.29e-05	0	0.1	NA	NA
ENSGALG00010000005	NA	NA	0.003663004	0.013045573	2.3142605	2.3142605	2.3142605	1.8358057	1.9090446	1.7111998	1.7970703	0.031702105	3.42e-05	8.9e-06	0.000414	0.038493026	0	0.1	NA	NA
ENSGALG00010000007	63549479	ND1	0.003584229	0.013045573	1.9810368	1.9810368	1.8656092	1.9810368	1.7482309	1.7942299	1.9476002	0.002263562	0.000699	1.12e-06	3.17e-05	0.003124811	NA	NA	ND1	63549479
ENSGALG00010000011	63549482	ND2	0.003558719	0.013045573	1.5862067	1.5862067	1.4730383	1.3995347	1.5647727	1.4606861	1.5862067	0.000477	0.001017678	0.030395402	0.000346	0.000591	NA	NA	ND2	63549482
ENSGALG00010000017	63549487	COX1	0.003558719	0.013045573	1.9821738	1.9821738	1.9293354	1.8191122	1.9821738	1.9587814	1.5244015	8.53e-06	1.02e-05	1.04e-05	2.01e-06	0.000157	NA	NA	COX1	63549487
ENSGALG00010000020	63549489	COX2	0.003676471	0.013045573	1.6451583	1.6451583	1.4747814	1.5399625	1.6451583	1.6443255	1.2712146	0.000677	1.31e-06	0.021115901	0.00238668	0.016037121	NA	NA	COX2	63549489
ENSGALG00010000022	63549490	ATP8	0.003717472	0.013045573	1.9512335	1.9512335	1.8027773	1.9512335	1.8096976	1.6556754	1.4219542	0.029353525	0.001724763	0.010235772	0.008190038	0.028398264	NA	NA	ATP8	63549490
ENSGALG00010000023	63549466	ATP6	0.010676157	0.027375489	1.5126141	1.5126141	1.4478773	1.3469267	1.5126141	1.4582741	1.1172235	0.000471	0.002430074	0.004344875	0.000476	0.20244215	NA	NA	ATP6	63549466
ENSGALG00010000024	63549467	COX3	0.013937282	0.03379585	1.5133852	1.5133852	1.2612065	1.4035082	1.2912153	1.5133852	1.1489549	0.04692868	0.000689	0.13464545	4.63e-05	0.13530803	NA	NA	COX3	63549467
ENSGALG00010000026	63549491	ND3	0.003610108	0.013045573	1.5799791	1.5799791	1.5121932	1.4223204	1.5799791	1.506068	1.3087351	0.001743519	0.00037	0.04820753	0.001977025	0.012199049	NA	NA	ND3	63549491
ENSGALG00010000028	63549492	ND4L	0.003508772	0.013045573	1.6855352	1.6855352	1.6855352	1.6455803	1.6204001	1.572816	1.3500189	0.000386	1.52e-05	0.000727	0.001415368	0.000781	NA	NA	ND4L	63549492
ENSGALG00010000033	63549495	ND5	0.014336918	0.034695089	1.5656149	1.5656149	1.404856	1.3813672	1.5656149	1.4197841	1.1886295	0.001515323	0.002113457	0.021944858	0.021393219	0.057538904	NA	NA	ND5	63549495
ENSGALG00010000043	415587	PPIP5K1	0.010416667	0.026749245	2.5859482	2.5859482	2.5859482	2.3318634	1.6114596	1.9310154	1.4672287	0.018077254	4.19e-06	0.09638649	0.00017	0.039628584	0	0.1	PPIP5K1	415587
ENSGALG00010000044	415588	MAP1A	0.004132231	0.013045573	-2.589238	2.589238	-2.589238	-2.1146412	-2.2741969	-1.6287239	1.301964	0.027618928	0.016036127	0.056824856	0.18483678	0.16796713	0	0.1	MAP1A	415588
ENSGALG00010000045	415589	TP53BP1	0.003891051	0.013045573	1.6290647	1.6290647	-1.2563508	-1.0842725	-1.0711197	1.1112497	1.6290647	0.07988928	0.2578826	0.4923112	0.09716472	3.24e-05	NA	NA	TP53BP1	415589
ENSGALG00010000047	415591	IQGAP1	0.003816794	0.013045573	-5.488042	5.488042	-2.305874	-2.449881	-2.846579	-5.488042	-3.0733073	2.18e-05	0.07098187	0.010773203	0.007088754	0.0974387	0	0.1	IQGAP1	415591
ENSGALG00010000048	415585	MAN2A2	0.003952569	0.013045573	1.5228057	1.5228057	1.2599471	1.0977598	1.3411499	1.3664826	1.5228057	0.16720143	0.17000861	0.0548949	0.14007242	0.003845874	NA	NA	MAN2A2	415585
ENSGALG00010000049	429374	FES	0.004098361	0.013045573	-3.499282	3.499282	-1.2614936	-1.4732873	-1.7587564	-1.837095	-3.499282	0.447103	0.25919643	0.038856175	0.15790728	0.085890815	NA	NA	FES	429374
ENSGALG00010000055	770336	PRC1	0.003717472	0.013045573	-1.9616218	1.9616218	-1.9616218	-1.8190533	-1.8817526	-1.557867	-1.1732688	0.000287	0.001759885	0.080378085	0.01857998	0.13347025	NA	NA	PRC1	770336
ENSGALG00010000078	112531388	LOC112531388	0.004132231	0.013045573	-2.960212	2.960212	2.062941	2.1681464	1.7997886	1.0325975	-2.960212	3.94e-08	3.03e-10	0.000407	0.8070425	0.034128513	0	0.1	LOC112531388	112531388
ENSGALG00010000078	112531412	LOC112531412	0.004132231	0.013045573	-2.960212	2.960212	2.062941	2.1681464	1.7997886	1.0325975	-2.960212	3.94e-08	3.03e-10	0.000407	0.8070425	0.034128513	0	0.1	LOC112531412	112531412
ENSGALG00010000085	121108716	PIP4P1	0.01119403	0.028457397	2.9031959	2.9031959	2.3015687	1.8345345	1.6786202	2.0053518	2.9031959	0.001568286	0.26892766	0.19112228	0.09032642	0.00419001	0	0.1	PIP4P1	121108716
ENSGALG00010000108	107057280	LOC107057280	0.003816794	0.013045573	2.3362937	2.3362937	-1.0576432	1.2565316	1.2619114	1.5637395	2.3362937	0.8354169	0.2279221	0.59733605	0.102712326	0.000682	100	300	LOC107057280	107057280
ENSGALG00010000108	121112483	LOC121112483	0.003816794	0.013045573	2.3362937	2.3362937	-1.0576432	1.2565316	1.2619114	1.5637395	2.3362937	0.8354169	0.2279221	0.59733605	0.102712326	0.000682	100	300	LOC121112483	121112483
ENSGALG00010000124	112530176	MRPS24	0.004098361	0.013045573	1.7931005	1.7931005	1.1018507	1.0557265	1.0303972	1.2945877	1.7931005	0.070483305	0.2541351	0.73969436	0.001155543	0.012970022	NA	NA	MRPS24	112530176
ENSGALG00010000131	NA	NA	0.003968254	0.013045573	1.9356984	1.9356984	1.0405115	1.20338	1.1657475	1.6459236	1.9356984	0.7314545	0.0496358	0.35754213	2.01e-06	0.000526	NA	NA	NA	NA
ENSGALG00010000137	425940	LOC425940	0.004065041	0.013045573	-3.046783	3.046783	-1.7946705	-1.4925537	-1.3372747	-1.4892699	-3.046783	0.08423013	0.2826881	0.017093856	0.20297623	0.06522322	NA	NA	LOC425940	425940
