Probe ID	Gene ID	Gene Symbol	Unadjusted.P.Value	Adjusted.P.Value	Max.Fold.Change	Max.Fold.Change.Unsigned	FC.Dose.Level.1	FC.Dose.Level.2	FC.Dose.Level.3	FC.Dose.Level.4	FC.Dose.Level.5	NOTEL.LOTEL.T.Test.p.Value.Level.1	NOTEL.LOTEL.T.Test.p.Value.Level.2	NOTEL.LOTEL.T.Test.p.Value.Level.3	NOTEL.LOTEL.T.Test.p.Value.Level.4	NOTEL.LOTEL.T.Test.p.Value.Level.5	NOTEL	LOTEL	SYMBOL	ENTREZID
ENSGALG00010000043	415587	PPIP5K1	0.010416667	0.026749245	2.5859482	2.5859482	2.5859482	2.3318634	1.6114596	1.9310154	1.4672287	0.018077254	4.19e-06	0.09638649	0.00017	0.039628584	0	0.1	PPIP5K1	415587
ENSGALG00010000044	415588	MAP1A	0.004132231	0.013045573	-2.589238	2.589238	-2.589238	-2.1146412	-2.2741969	-1.6287239	1.301964	0.027618928	0.016036127	0.056824856	0.18483678	0.16796713	0	0.1	MAP1A	415588
ENSGALG00010000047	415591	IQGAP1	0.003816794	0.013045573	-5.488042	5.488042	-2.305874	-2.449881	-2.846579	-5.488042	-3.0733073	2.18e-05	0.07098187	0.010773203	0.007088754	0.0974387	0	0.1	IQGAP1	415591
ENSGALG00010000078	112531388	LOC112531388	0.004132231	0.013045573	-2.960212	2.960212	2.062941	2.1681464	1.7997886	1.0325975	-2.960212	3.94e-08	3.03e-10	0.000407	0.8070425	0.034128513	0	0.1	LOC112531388	112531388
ENSGALG00010000078	112531412	LOC112531412	0.004132231	0.013045573	-2.960212	2.960212	2.062941	2.1681464	1.7997886	1.0325975	-2.960212	3.94e-08	3.03e-10	0.000407	0.8070425	0.034128513	0	0.1	LOC112531412	112531412
ENSGALG00010000085	121108716	PIP4P1	0.01119403	0.028457397	2.9031959	2.9031959	2.3015687	1.8345345	1.6786202	2.0053518	2.9031959	0.001568286	0.26892766	0.19112228	0.09032642	0.00419001	0	0.1	PIP4P1	121108716
ENSGALG00010000108	107057280	LOC107057280	0.003816794	0.013045573	2.3362937	2.3362937	-1.0576432	1.2565316	1.2619114	1.5637395	2.3362937	0.8354169	0.2279221	0.59733605	0.102712326	0.000682	100	300	LOC107057280	107057280
ENSGALG00010000108	121112483	LOC121112483	0.003816794	0.013045573	2.3362937	2.3362937	-1.0576432	1.2565316	1.2619114	1.5637395	2.3362937	0.8354169	0.2279221	0.59733605	0.102712326	0.000682	100	300	LOC121112483	121112483
ENSGALG00010000143	772263	SCARF2	0.003745318	0.013045573	-11.105518	11.105518	-4.91068	-5.216344	-3.7696114	-5.352636	-11.105518	0.00088	0.001870244	1.96e-05	0.005023384	0.014655084	0	0.1	SCARF2	772263
ENSGALG00010000145	770734	PRODH	0.003787879	0.013045573	-4.483289	4.483289	-2.0719955	-1.9179355	-2.0110888	-2.1880958	-4.483289	0.060496785	0.002283188	0.07811087	0.02309456	0.052833434	10	100	PRODH	770734
