"Chemical","Endpoints","Lower","Median","Upper","Range","DRG..Dose.Responsive.Genes.","Top_Dose","Low_Dose"
"BPA","LCRD",0.852591,0.852591,1.08168,0.229089,"2899","30","0.1"
"","First mode",10.2797000706816,11.3830431612358,15.0234267159006,4.74372664521892,"","",""
"","Category (intracellular iron ion homeostasis)",2.07215,5.88596,26.5144,24.44225,"","",""
"","20th gene",1.2202,2.07215,2.8505,1.6303,"","",""
"","10th percentile",6.899968,7.209626,7.57601465,0.676046650000001,"","",""
"","LC50",18.6,61.7,104.8,86.2,"","",""
NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPA_TDR","LCRD",0.943638,0.944609,2.58649,1.642852,"451","10","0.1"
"","First mode",5.58138096597258,6.01043076687386,9.0552887976212,3.47390783164863,"","",""
"","Category (transmembrane transport)",2.79294,5.57894,7.2516,4.45866,"","",""
"","20th gene",1.05403,1.13286,2.72299,1.66896,"","",""
"","10th percentile",2.82288,3.21339,3.77995,0.95707,"","",""
"","LC50",18.6,61.7,104.8,86.2,"","",""
