"Chemical","Endpoints","Lower","Median","Upper","Range","DRG..Dose.Responsive.Genes.","Top_Dose","Low_Dose"
"BPC","LCRD",0.0918583,0.0918583,0.203458,0.1115997,"860","10","0.001"
"","First mode",3.0230174800586,3.24688518020319,3.67175834238263,0.64874086232403,"","",""
"","Category (hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides)",0.109048,0.281433,1.16099,1.051942,"","",""
"","20th gene",0.16669,0.245907,0.340177,0.173487,"","",""
"","10th percentile",0.700796,0.840296,1.069562,0.368766,"","",""
"","LC50",20.2,30,39.8,19.6,"","",""
NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPC_TDR","LCRD",0.237469,0.237469,0.238705,0.00123600000000001,"353","1","0.001"
"","First mode",0.389083528405972,0.623871575341716,0.656548093928488,0.267464565522516,"","",""
"","Category (positive regulation of ERK1 and ERK2 cascade)",0.00100865,0.401545,0.480335,0.47932635,"","",""
"","20th gene",0.238161,0.265729,0.334518,0.096357,"","",""
"","10th percentile",0.312884,0.352531,0.3868212,0.0739372,"","",""
"","LC50",20.2,30,39.8,19.6,"","",""
