"Chemical","Endpoints","Lower","Median","Upper","Range","DRG..Dose.Responsive.Genes.","Top_Dose","Low_Dose"
"BPZ","LCRD",0.058245,0.099267,0.228069,0.169824,"988","10","0.001"
"","First mode",3.06223291776006,3.26904999560719,3.48322331379247,0.42099039603241,"","",""
"","Category (single-stranded DNA binding)",0.00129444,0.3565545,1.84423,1.84293556,"","",""
"","20th gene",0.100917,0.228069,0.413969,0.313052,"","",""
"","10th percentile",1.01629,1.155805,1.261061,0.244771,"","",""
"","LC50",9.2,16.2,23.2,14,"","",""
NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPZ_TDR","LCRD",0.140457,0.140457,0.176266,0.035809,"383","1","0.001"
"","First mode",0.257231824599694,0.331892835848583,0.336369592707152,0.0791377681074577,"","",""
"","Category (cell differentiation)",0.467172,0.524021,0.631871,0.164699,"","",""
"","20th gene",0.174619,0.177737,0.219608,0.044989,"","",""
"","10th percentile",0.21648878,0.2391184,0.252899,0.0364102199999999,"","",""
"","LC50",9.2,16.2,23.2,14,"","",""
