"Chemical","Endpoints","Lower","Median","Upper","Range","DRG..Dose.Responsive.Genes.","Top_Dose","Low_Dose"
"MBHA","LCRD",0.776509,0.776509,0.857208,0.080699,"4578","300","0.1"
"","First mode",101.649202533514,113.961380303018,138.087657534925,36.4384550014101,"","",""
"","Category (magnesium ion binding)",0.232412,6.68075,210.994,210.761588,"","",""
"","20th gene",1.03301,1.23528,1.39332,0.36031,"","",""
"","10th percentile",21.64012125,25.3737,30.07293375,8.43281250000002,"","",""
"","LC50",0,0,0,0,"","",""
NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBHA_TDR","LCRD",0.0485337,0.0511176,0.291807,0.2432733,"2632","100","0.1"
"","First mode",46.6168112597542,52.2908711107217,54.6086402932582,7.99182903350406,"","",""
"","Category (regulation of cell shape)",0.0459811,0.0920831,1.61018,1.5641989,"","",""
"","20th gene",0.0947479,0.100618,0.30968,0.2149321,"","",""
"","10th percentile",5.162452225,6.68883,13.1685,8.006047775,"","",""
"","LC50",0,0,0,0,"","",""
